programmes,desc,target,link,org
THK Bedok Radiance SAC,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,THK Bedok Radiance SAC
THK Centre for Family Harmony @ Circuit,"Thye Hua Kwan Moral Charities has been providing problem gambling services since 2006 and is appointed by the National Council of Problem Gambling to provide community based intervention. The Problem Gambling services at CFH include: Application of the Family Exclusion Order/ Family Visit Limit, Assessment for Third Party Visit Limit / Exclusion Order, and Counselling Services for problem gamblers and their families",Individuals with gambling issues,http://www.thkmc.org.sg/,Thye Hua Kwan Centre for Family Harmony
THK Centre for Family Harmony @ Commonwealth,"THK Centre for Family Harmony @ Commonwealth is one of the four Divorce Support Specialist Agencies (DSSAs) that play a key role in supporting families and children who are affected by divorce. The long term goal of the Divorce Support Specialist Agency is for families and their children to achieve stability and self-reliance. THK CFH @ Commonwealth provides comprehensive support to the families (casework and counselling, a range of preventive and intervention programmes) to empower them. [By Thye Hua Kwan Moral Charities Limited]",Families and children affeced by divorce,http://www.thkmc.org.sg/,Thye Hua Kwan Centre for Family Harmony @ Commonwealth
THK Children’s Therapy Centre @ MacPherson,"THK Children’s Therapy Centre @ Macpherson is purpose-built with the relevant facilities, including a sensory integration gym as well as therapy rooms for occupational therapy, speech- language therapy and psychological services. Its focus is to provide specialized paediatric therapy services to children with developmental needs, learning difficulties or behavioural issues. The centre aims to provide a positive, nurturing environment for children and their families to ensure that they receive quality intervention services. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental needs, learning difficulties or behavioural issues",http://www.thkmc.org.sg/,3811121
THK Children’s Therapy Centre @ Mei Chin,"THK Children’s Therapy Centre @ Mei Chin is purpose-built with the relevant facilities, including a sensory integration gym as well as therapy rooms for occupational therapy, speech- language therapy and psychological services. Its focus is to provide specialized paediatric therapy services to children with developmental needs, learning difficulties or behavioural issues. The centre aims to provide a positive, nurturing environment for children and their families to ensure that they receive quality intervention services. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental needs, learning difficulties or behavioural issues",http://www.thkmc.org.sg/,THK Children's Therapy Centre
THK Chong Pang Social Service Hub,THK Chong Pang Social Service Hub helps the elderly and disabled people get the appropriate services and assistance by being a one-stop service hub. It aims to offer better care and convenience for the elderly in the constituency so that they do not have to travel to a polyclinic or hospital further away. [By Thye Hua Kwan Moral Charities Limited],Seniors and persons with disabilities requiring medical services,http://www.thkmc.org.sg/,THK Chong Pang Social Service Hub
THK Cluster Support @ Ang Mo Kio,"Thye Hua Kwan Moral Charities Limited currently operates 4 Cluster Support to enhance the quality of life of vulnerable seniors with no or low family support to live with dignity, integrity and respect in the community, for as long as possible.",Residents aged 60 and above; Assessed to have no or low family support and need continued assistance; and require some help with Activities of Daily Living (ADL) and Instrumental Activities of Daily Living (IADL),http://www.thkmc.org.sg/,560650
THK Cluster Support @ Bedok,"Thye Hua Kwan Moral Charities Limited currently operates 4 Cluster Support to enhance the quality of life of vulnerable seniors with no or low family support to live with dignity, integrity and respect in the community, for as long as possible.",Residents aged 60 and above; Assessed to have no or low family support and need continued assistance; and require some help with Activities of Daily Living (ADL) and Instrumental Activities of Daily Living (IADL),http://www.thkmc.org.sg/,460013
THK Cluster Support @ Bukit Merah,"Thye Hua Kwan Moral Charities Limited currently operates 4 Cluster Support to enhance the quality of life of vulnerable seniors with no or low family support to live with dignity, integrity and respect in the community, for as long as possible.",Residents aged 60 and above; Assessed to have no or low family support and need continued assistance; and require some help with Activities of Daily Living (ADL) and Instrumental Activities of Daily Living (IADL),http://www.thkmc.org.sg/,THK SAC ( Cluster Support) @ Bukit MERAH
THK Cluster Support @ Geylang,"Thye Hua Kwan Moral Charities Limited currently operates 4 Cluster Support to enhance the quality of life of vulnerable seniors with no or low family support to live with dignity, integrity and respect in the community, for as long as possible.",Residents aged 60 and above; Assessed to have no or low family support and need continued assistance; and require some help with Activities of Daily Living (ADL) and Instrumental Activities of Daily Living (IADL),http://www.thkmc.org.sg/,370093
THK CREST @ Bedok Radiance,THK CREST serves as a community support network for elderly at risk of or diagnosed with mental health problems. It aims to help these elderly and their care-givers achieve quality of life through access to services and community support. [By Thye Hua Kwan Moral Charities Limited],"Residents aged 60 years and above who are at risk of or diagnosed with mental health problems, and live within the service boundary, and their caregivers",http://www.thkmc.org.sg/,THK CREST Bedok
THK CREST @ Central (Beo Crescent),THK CREST serves as a community support network for elderly at risk of or diagnosed with mental health problems. It aims to help these elderly and their care-givers achieve quality of life through access to services and community support. [By Thye Hua Kwan Moral Charities Limited],"Residents aged 60 years and above who are at risk of or diagnosed with mental health problems, and live within the service boundary, and their caregivers",http://www.thkmc.org.sg/,THK SAC @ Beo Crescent
THK CREST @ Chong Pang,THK CREST serves as a community support network for elderly at risk of or diagnosed with mental health problems. It aims to help these elderly and their care-givers achieve quality of life through access to services and community support. [By Thye Hua Kwan Moral Charities Limited],"Residents aged 60 years and above who are at risk of or diagnosed with mental health problems, and live within the service boundary, and their caregivers",http://www.thkmc.org.sg/,THK THK Chong Pang Social Service HubCREST @ Chong Pang
THK EIPIC Centre @ Ang Mo Kio,"The Early Intervention Programme for Infants & Children (EIPIC) helps equip children with motor, communication, social, self-help and cognitive skills. THK EIPIC Centre involves structuring classes around small groups encompassing early childhood special education, social work and therapy support services to stimulate their adaptive functioning and school readiness skills. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental, intellectual or physical disabilities and their families",http://www.thkmc.org.sg/,THK EIPIC at AMK
THK EIPIC Centre @ Choa Chu Kang,"The Early Intervention Programme for Infants & Children (EIPIC) helps equip children with motor, communication, social, self-help and cognitive skills. THK EIPIC Centre involves structuring classes around small groups encompassing early childhood special education, social work and therapy support services to stimulate their adaptive functioning and school readiness skills. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental, intellectual or physical disabilities and their families",http://www.thkmc.org.sg/,THK EIPIC at CCK
THK EIPIC Centre @ Tampines,"The Early Intervention Programme for Infants & Children (EIPIC) helps equip children with motor, communication, social, self-help and cognitive skills. THK EIPIC Centre involves structuring classes around small groups encompassing early childhood special education, social work and therapy support services to stimulate their adaptive functioning and school readiness skills. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental, intellectual or physical disabilities and their families",http://www.thkmc.org.sg/,THK EIPIC at Tampines
THK EIPIC Centre @ Woodlands,"The Early Intervention Programme for Infants & Children (EIPIC) helps equip children with motor, communication, social, self-help and cognitive skills. THK EIPIC Centre involves structuring classes around small groups encompassing early childhood special education, social work and therapy support services to stimulate their adaptive functioning and school readiness skills. [By Thye Hua Kwan Moral Charities Limited]","Children with developmental, intellectual or physical disabilities and their families",http://www.thkmc.org.sg/,THK Eipic Centre
THK Family Service Centre @ Bedok North,"THK Family Service Centres (FSCs) are a key community-based focal point and social service provider for families in need. The objective of FSCs is to promote and improve the social well-being of every individual in the family, at every stage of life. FSCs are staffed with social workers and other professionals to provide a helping hand. THK FSC provides Casework & Counselling, Information & Referral and Community Support Programmes. [By Thye Hua Kwan Moral Charities Limited]",Families and individuals in distress or in need,http://www.thkmc.org.sg/,Thye Hua Kwan Family Service Centre - Bedok North
THK Family Service Centre @ Bedok North - Student Care Centre,About 1/5 of the places in the student care centre are allocated for children with special needs.  Subsidy is given to families who are not able to afford the fees,Please contact the organisation directly for more details.,http://www.thkms.org.sg/,THK Family Service Centre @ Bedok North - Student Care Centre
THK Family Service Centre @ Bukit Panjang,"THK Family Service Centres (FSCs) are a key community-based focal point and social service provider for families in need. The objective of FSCs is to promote and improve the social well-being of every individual in the family, at every stage of life. FSCs are staffed with social workers and other professionals to provide a helping hand. THK FSC provides Casework & Counselling, Information & Referral and Community Support Programmes. [By Thye Hua Kwan Moral Charities Limited]",Families and individuals in distress or in need,http://www.thkmc.org.sg/,Thye Hua Kwan Family Service Centre Bukit Panjang
THK Family Service Centre @ Jurong,"THK Family Service Centres (FSCs) are a key community-based focal point and social service provider for families in need. The objective of FSCs is to promote and improve the social well-being of every individual in the family, at every stage of life. FSCs are staffed with social workers and other professionals to provide a helping hand. THK FSC provides Casework & Counselling, Information & Referral and Community Support Programmes. [By Thye Hua Kwan Moral Charities Limited]",Families and individuals in distress or in need,http://www.thkmc.org.sg/,THK Family Service Centre @ Jurong
THK Family Service Centre @ MacPherson,"THK Family Service Centres (FSCs) are a key community-based focal point and social service provider for families in need. The objective of FSCs is to promote and improve the social well-being of every individual in the family, at every stage of life. FSCs are staffed with social workers and other professionals to provide a helping hand. THK FSC provides Casework & Counselling, Information & Referral and Community Support Programmes. [By Thye Hua Kwan Moral Charities Limited]",Families and individuals in distress or in need,http://www.thkmc.org.sg/,370091
THK Family Service Centre @ Tanjong Pagar,"THK Family Service Centres (FSCs) are a key community-based focal point and social service provider for families in need. The objective of FSCs is to promote and improve the social well-being of every individual in the family, at every stage of life. FSCs are staffed with social workers and other professionals to provide a helping hand. THK FSC provides Casework & Counselling, Information & Referral and Community Support Programmes. [By Thye Hua Kwan Moral Charities Limited]",Families and individuals in distress or in need,http://www.thkmc.org.sg/,THK Family Service Centre @ Tanjong Pagar
THK Home Care Services,"THK Home Care Services provide holistic and person centred care to the elderly who are mainly the needy and vulnerable, staying in the community.  The focus of the services is to ensure the elderly’s health and Activities of Daily Living (ADLs) are optimized by delaying the onset and/or worsening of chronic illnesses e.g. diabetes, hypertension, dementia with the fine balance of healthy living. [By Thye Hua Kwan Moral Charities Limited]","Elderly who are mainly the needy and vulnerable, staying in the community",http://www.thkmc.org.sg/,THK Chong Pang Social Service Hub
THK Home for Disabled @ Eunos,Thye Hua Kwan (THK) Moral Society established the THK Home for Disabled @ Eunos (formerly known as Moral Home for Disabled) to provide residential care for children with intellectual disabilities when the Government divested its 6 children’s homes. The Home aims to ensure a high quality of living for the residents under its care and to develop residents in the hostel programme to their highest potential so that they can independent in their daily lives and be re-integrated into the community.  [By Thye Hua Kwan Moral Charities Limited],Adults with intellectual disabilities,http://www.thkmc.org.sg/,THK Home for Disabled @ Eunos
THK Home for Disabled @ Sembawang,"THKMC established the  THK Home for Disabled @ Sembawang to provide long-term residential care for adults aged between 16 and 55 years old diagnosed with intellectual disabilities (ID) and/or Autism Spectrum Disorder (ASD), or other co-morbidities. They also support short-term care respite care services and crisis placements classified under the MSF Vulnerable Adults category. [By Thye Hua Kwan Moral Charities Limited]","Adults 16 and 55 years old diagnosed with intellectual disabilities (ID) and/or Autism Spectrum Disorder (ASD), or other co-morbidities",http://www.thkmc.org.sg/,Thye Hua Kwan Home For Disabled @ Sembawang
THK Home for Disabled Adults @ Chai Chee,"THK Home for Disabled Adults @ Chai Chee gives shelter, warmth, care and love to intellectually disabled adults; in particular to those without parental support or whose parents are unable to support or care for them. The Home provides structured programmes to suit the residents of different age groups and disability profiles. THK Home for Disabled adults @ Chai Chee train and develop their capabilities in self-help, community living, socialization, perceptual-cognitive and motor skills.  [By Thye Hua Kwan Moral Charities Limited]",Adults with intellectual disabilities,http://www.thkmc.org.sg/,THK Home For Disabled Adults @ Chai Chee
THK Home Help Service East (HHS),"THK Home Help Service (HHS) is created to assist and support frail elderly to remain in their own homes for as long as possible, thereby enabling the elderly to ‘age-in-place’ as well as to delay institutional care. Home Help Service also better known as ""Meals on Wheels"", providing packed healthy meals to these elderly.  [By Thye Hua Kwan Moral Charities Limited]","Community-dwelling low-income, frail seniors",http://www.thkmc.org.sg/,469030
THK Home Help Service West (HHS),"THK Home Help Service (HHS) is created to assist and support frail elderly to remain in their own homes for as long as possible, thereby enabling the elderly to ‘age-in-place’ as well as to delay institutional care. Home Help Service also better known as ""Meals on Wheels"", providing packed healthy meals to these elderly.  [By Thye Hua Kwan Moral Charities Limited]","Community-dwelling low-income, frail seniors",http://www.thkmc.org.sg/,THK Home Help West
THK Indus Moral CARE,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,THK Senior Group Home @ Indus 79
THK Pan-Disability Centre @ Eunos,"The Society of Moral Charities (Visually Handicapped), SOMC (VH), is a sheltered workshop that provides persons with visual impairment a means to be gainfully employed and was started in October 2005. The Centre, now known as THK Pan-Disability Centre @ Eunos, has since moved towards pan-disability and currently has clients with various /multiple disabilities, such as, hearing impairment, intellectual and multiple disabilities.  [By Thye Hua Kwan Moral Charities Limited]","Personss with various /multiple disabilities, such as, hearing impairment, intellectual and multiple disabilities",http://www.thkmc.org.sg/,THK Pan-Disability Centre
THK SAC @ Ang Mo Kio 208,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,560208
THK SAC @ Ang Mo Kio 257,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,THK Senior Activity Centre
THK SAC @ Ang Mo Kio 645,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,560645
THK SAC @ Beo Crescent,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,THK SAC @ Beo Crescent
THK SAC @ Boon Lay,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,640190
THK SAC @ Bukit Merah View,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,Thye Hua Kwan Seniors Activity Centre @ Bukit Merah View
THK SAC @ Fengshan 101,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,460101
THK SAC @ Fengshan 114,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,460114
THK SAC @ Henderson (Satellite 93),"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,Thye Hua Kwan Seniors Activity Centre - Henderson (Satellite 93)
THK SAC @ Kaki Bukit,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,462509
THK SAC @ MacPherson,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,370090
THK SAC @ Telok Blangah Crescent,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,Thye Hua Kwan Seniors Activity Centre - Telok Blangah
THK SAC @ Toa Payoh 15,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,THK SAC @ Toa Payoh 15
THK SAC @ Toa Payoh 31,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,310031
THK Senior Group Home @ 79 Indus Road,"THK Seniors Group home (SGH) aims to enable seniors to co-reside independently in designated HDB rental flats which are retrofitted with elder-friendly features.  Support from community based services also empowers them to live in the community for as long as possible with dignity, integrity and respect. [By Thye Hua Kwan Moral Charities Limited]","Seniors aged 60 and above, certified by a doctor to be fit for communal living and / or participation in communal activities, and",http://www.thkmc.org.sg/,THK Senior Group Home @ Indus 79
THK Senior Group Home @ 257 Ang Mo Kio,"THK Seniors Group home (SGH) aims to enable seniors to co-reside independently in designated HDB rental flats which are retrofitted with elder-friendly features.  Support from community based services also empowers them to live in the community for as long as possible with dignity, integrity and respect. [By Thye Hua Kwan Moral Charities Limited]","Seniors aged 60 and above, certified by a doctor to be fit for communal living and / or participation in communal activities, and",http://www.thkmc.org.sg/,THK Seniors Activity Centre
THK Seniors Activity Centre @ Cassia,"Seniors Activity Centres (SACs) are day centres for needy and vulnerable seniors. Thye Hua Kwan Moral Charities Limited's SACs provide activities for seniors, keeping them active and socially integrated. Apart from providing socio-recreational programmes and activities. THK SACs also provide support services to frail and homebound elderly through befriending services, emergency alert response calls, information and referrals for eldercare related matters. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,390052
THK Seniors Group Home @ Pipit,"THK Seniors Group home (SGH) aims to enable seniors to co-reside independently in designated HDB rental flats which are retrofitted with elder-friendly features.  Support from community based services also empowers them to live in the community for as long as possible with dignity, integrity and respect. [By Thye Hua Kwan Moral Charities Limited]","Seniors aged 60 and above, certified by a doctor to be fit for communal living and / or participation in communal activities, and",http://www.thkmc.org.sg/,370094
THK Seniors Service Centre @ Taman Jurong,"THK Seniors Service Centre @ Taman Jurong helps to provide opportunities for intergenerational interaction, encourage seniors to remain integrated in society through community outreach programmes and social recreational activities. The Service centre also Improve the quality of life of the seniors through engaging them in activities such as art and craft sessions, festival celebrations, karaoke sessions, iPad training, wellness programmes and regular outings. It also promote active ageing and volunteerism among seniors.  [By Thye Hua Kwan Moral Charities Limited]",Seniors seeking daytime social activities,http://www.thkmc.org.sg/,610337
THK Social Services @ Bukit Batok,"THK Social Services @ Bukit Batok East was initiated by Mdm Halimah Yacob, Speaker of Parliament, Grassroots Adviser to Jurong GRC Grassroots Organisations and MP for Jurong GRC, Bukit Batok East Grassroots organisations and Thye Hua Kwan Moral Charities. This Centre will cater to the needs of the residents of Bukit Batok East area, especially the elderly and persons needing care. [By Thye Hua Kwan Moral Charities Limited]",Elderly residents living in HDB one and two-room rental flats,http://www.thkmc.org.sg/,650235
THK Wellness Hub @ 80B,THK Wellness Hub makes health and wellness their utmost priority. It is a drop-in centre for the elderly residing in the studio apartments of Blk 80B.,"It is a hub where elderly participate in activities in a warm, receptive and familiar environment.  THK Wellness Hub provide home therapy and rehabilitation services upon referral at the day rehabilitation centre. [By Thye Hua Kwan Moral Charities Limited]",http://www.thkmc.org.sg/,102080
THK Young at Heart,"THK Young at Heart was set up to cater to the elderly living in the studio apartments at the Ang Mo Kio area. The centre promotes “a kampung out of home” concept, and is one of THK’s unique models that hopes to allow volunteers to run several initiatives and programmes. [By Thye Hua Kwan Moral Charities Limited]",Elderly living in the studio apartments at the Ang Mo Kio area,http://www.thkmc.org.sg/,560650
Thong Kheng ASD Day Activity Centre,"The Blue Cross Thong Kheng ASD Day Activity Centre provides Day Activity Service to the individual suffering from Autism. The center features on systematic client-focused programmes and services. Thong Kheng Welfare Services Society provide facilities for training , caring, and development of the autistic people. [By Thong Kheng Welfare Services Society]",Individuals with Autism,http://thongkheng.org.sg/,Upper Thomson Community Hub
Thong Kheng Senior Activity Centre (Henderson - Dawson),Thong Kheng Senior Activity Centre provides social and recreational programmes and activities and facilitates provision of community-based services. [By Thong Kheng Welfare Services Society],Low-income community-dwelling seniors,http://thongkheng.org.sg/,Thong Kheng Seniors Activity Centre - Tanglin-Cairnhill Centre
Thong Kheng Senior Activity Centre (Queenstown),Thong Kheng Senior Activity Centre provides social and recreational programmes and activities and facilitates provision of community-based services. [By Thong Kheng Welfare Services Society],Low-income community-dwelling seniors,http://thongkheng.org.sg/,Thong Kheng Seniors Activity Centre - Queenstown Centre
Thong Kheng Students Care Centre,"Thong Kheng Student Care Centre takes care of school-going children, from 7 to 14 years old, after their school hours and during the school holidays.",Students aged 7 to 14,http://thongkheng.org.sg/,Thong Kheng Student Care Centres
Thong Teck Sian Tong Lian Sin Sia - NKF Resource Centre,Programme information unavailable. Please contact the organisation directly for more details.,Kidney patients,https://www.nkfs.org/,Thong Teck Sian Tong Lian Sin Sia - NKF Resource Centre
Thuja Home at Pelangi Village [By Sathya Sai Social Service],"Welfare Home for the care, reception and rehabilitation of female destitute persons  and a supportive environment for the maintenance and promotion of physical and psychosocial well-being.",Female destitutes admitted by MSF under the DPA,www.4s.org.sg/,Thuja Home
TNCM Counselling,"he New Charis Mission (TNCM) is a community partner of Singapore Prison Service; educating and counselling inmates. Much can be done to prepare a person during incarceration, as early as upon the arrest of a person, volunteers steps in to help prepare him emotionally and mentally before beginning his prison sentence.",Inmates,http://www.thenewcharismission.org.sg/,The New Charis Mission
TNCM Drug Rehabilitation Programme,"The New Charis Mission operates a halfway house, providing a holistic rehabilitation programme for ex-drug offenders to help them to reintegrate into society.",Ex-drug offenders and ex-criminals,http://www.thenewcharismission.org.sg/,The New Charis Mission
TNCM Elderly Outreach,"The New Charis Mission (TNCM) runs home improvement projectsby residents of the rehabilitation programme, weekly home visits to provide daily necessities and organises special festive celebrations for seniors.",Community-dwelling seniors,http://www.thenewcharismission.org.sg/,"Elderly Outreach (Their joy, our passion)"
TNCM Social Enterprise,"The New Charis Mission (TNCM) runs a social enterprise to fund the daily operation of the organisation. These monies go into the running of our daily operations, halfway house overheads, staff salary/allowances, and community services; such as the elderly, prisons, schools/boys’ home and many more.","Elderly, inmates and youth offenders",http://www.thenewcharismission.org.sg/,The New Charis Mission
Toa Payoh Outreach Programme for Seniors,"A non-funded programme, initiated by Care Corner FSC (Toa Payoh), the programme aims to enable elderly living in 3-room purchased HDB flats to age-in-place by adopting the bio-psycho-social approach to promote active ageing amongst the elderly",Elderly living in 3-room purchased HDB flats to age in place,http://www.carecorner.org.sg/,Care Corner Counselling Centre
Toa Payoh Outreach Programme for Seniors (TOPS),"A non-funded programme, initiated by Care Corner FSC (Toa Payoh), the programme aims to enable elderly living in 3-room purchased HDB flats to age-in-place by adopting the bio-psycho-social approach to promote active ageing amongst the elderly.","Poor and needy elderly residing in the vicinity of block 170, Lorong 1 Toa Payoh",http://www.carecorner.org.sg/,Care Corner FSC (Toa Poyoh)
TOUCH Adoption Services,"At TOUCH Adoption (TAS), they believe that every child is a precious gift and deserves a permanent and loving home. They seek to help prospective adopters in their adoption process, as well as prepare them for their role as adoptive parents. [TOUCH Community Services Limited]","Couples who want to adopt, or adoptive parents",https://www.touch.org.sg/,TOUCH Adoption Services
TOUCH Adventures,"TOUCH Adventures (TA) aims to promote character development, personal growth, family and community bonding through adventure-based learning in wholesome, safe and fun activities to impact youths and adults. Bursting with drive and enthusiasm, they believe that everyone can be challenged for greatness. TA help to stretch their limits, unleashed these energies and channel them to good use. Through adventure activities, participants will discover their potential to lead rewarding lives and become changing agents in the community. [TOUCH Community Services Limited]",Children and adults,https://www.touch.org.sg/,397693
TOUCH Caregivers Support,"TOUCH Caregivers Support (TCG) helps caregivers cope with the challenges of providing care to their loved ones through a range of support services including home-based care, information and referral through a helpline, caregivers training and home modifications. [TOUCH Community Services Limited]",Caregivers who are providing care for seniors,https://www.touch.org.sg/,TOUCH Caregivers Support
TOUCH Centre For Independent Living (Bukit Merah),TOUCH Centre for Independent Living (TCIL) believes that individuals with intellectual disabilities can be empowered to contribute to society and live a dignified life. TCIL is a day activity centre that seeks to provide a competency-based training programme suitable for adults with mild intellectual disabilities. [TOUCH Community Services Limited],Adults with mild intellectual disabilities,https://www.touch.org.sg/,TOUCH Community Services
TOUCH Centre For Independent Living (Ubi),TOUCH Centre for Independent Living (TCIL) believes that individuals with intellectual disabilities can be empowered to contribute to society and live a dignified life. TCIL is a day activity centre that seeks to provide a competency-based training programme suitable for adults with mild intellectual disabilities. [TOUCH Community Services Limited],Adults with mild intellectual disabilities,https://www.touch.org.sg/,Touch Centre
